Taxon;I;II;II.III;III;IV;V;VI;VII;VIII;IX;Ordre
Acomys_nesiotes;0;0;0;0;1;0;0;0;0;0;RODENTIA
Allactaga_euphratica;0;0;0.333333333;0.333333333;0.333333333;0;0;0;0;0;RODENTIA
Allactaga_sp.;0;0;0.2;0.2;0.2;0;0.2;0.2;0;0;RODENTIA
Allactaga_tetradactyla;0;0;0;0;1;0;0;0;0;0;RODENTIA
Allactaga_toussi;0;0;0;0;0.5;0;0;0.5;0;0;RODENTIA
Allactaga_williamsi;0;0;0;0;0.333;0;0.333;0.333;0;0;RODENTIA
Allocricetus_bursae;0;0;0;0;0.333333333;0;0.333333333;0.333333333;0;0;RODENTIA
Alticola_sp.;0;0;0;0;0.25;0;0;0.25;0.25;0.25;RODENTIA
Apodemus_alpicola;0;0;0;0;0;0;0.333333333;0;0.333333333;0.333333333;RODENTIA
Apodemus_epimelas;0;0;0;0;0.333333333;0;0.333333333;0;0.333333333;0;RODENTIA
Apodemus_hyrcanicus;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Apodemus_sp.;0.111111111;0.111111111;0.111111111;0;0.111111111;0.111111111;0.111111111;0.111111111;0.111111111;0.111111111;RODENTIA
Apodemus_sylvaticus.flavicollis;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Apodemus_uralensis;0;0;0;0;0;0;0.25;0.25;0.25;0.25;RODENTIA
Arvicola_cantiana;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Arvicola_cantiana.mosbachensis;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Arvicola_cantiana.sapidus;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Arvicola_cantiana.terrestris;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Arvicola_scherman;0;0;0;0;0;0;0.333333333;0;0.333333333;0.333333333;RODENTIA
Arvicola_sp.;0;0;0;0;0.2;0;0.2;0.2;0.2;0.2;RODENTIA
Atlantoxerus_getulus;0;0;0;0;1;0;0;0;0;0;RODENTIA
Blanfordimys_afghanus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Calomyscus_elburzensis;0;0;0;0;0.5;0;0;0.5;0;0;RODENTIA
Calomyscus_mystax;0;0;0;0;0.333333333;0;0;0.333333333;0.333333333;0;RODENTIA
Castor_canadensis;0;0.166666667;0.166666667;0;0.166666667;0;0.166666667;0.166666667;0.166666667;0;RODENTIA
Chionomys_gud;0;0;0;0;0;0.25;0.25;0;0.25;0.25;RODENTIA
Cricetulus.allocricetus_bursae;0;0;0;0;0.333333333;0;0.333333333;0.333333333;0;0;RODENTIA
Cricetulus_sp.;0;0;0;0;0.333;0;0.333;0.333;0;0;RODENTIA
Cricetus_major;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Ctenodactylus_gundi;0;0;0;0;1;0;0;0;0;0;RODENTIA
Ctenodactylus_vali;0;0;0;1;0;0;0;0;0;0;RODENTIA
Dicrostonyx_antiquitatis;0;0;0;0;0;0;0;0;0.5;0.5;RODENTIA
Dryomys_laniger;0;0;0;0;0;0;0;1;0;0;RODENTIA
Eliomys_munbyanus;0;0;0;0.25;0.25;0;0;0.25;0.25;0;RODENTIA
Eliomys_sp.;0;0;0.166666667;0.166666667;0.166666667;0;0.166666667;0.166666667;0.166666667;0;RODENTIA
Ellobius_lutescens;0;0;0;0;0.333333333;0;0.333333333;0.333333333;0;0;RODENTIA
Ellobius_sp.;0;0;0;0;0.333333333;0;0.333333333;0.333333333;0;0;RODENTIA
Eolagurus_luteus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Gerbillus_amoenus;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Gerbillus_aquilus;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Gerbillus_cheesmani;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Gerbillus_floweri;0;0;0;1;0;0;0;0;0;0;RODENTIA
Gerbillus_hoogstraali;0;0;0;1;0;0;0;0;0;0;RODENTIA
Gerbillus_latastei;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Gerbillus_maghrebi;0;0;0;0;1;0;0;0;0;0;RODENTIA
